lang,order_by
en,5527 days 01:59:48.000000000
ca,5436 days 12:51:04.000000000
fa,4406 days 18:04:03.000000000
es,5346 days 16:27:55.000000000
ar,5434 days 00:54:49.000000000
fr,5173 days 04:34:24.000000000
ja,4840 days 15:40:37.000000000
pt,5281 days 17:36:46.000000000
zh,4780 days 19:00:34.000000000
de,5296 days 22:07:58.000000000
sv,5276 days 06:37:40.000000000
ru,4773 days 22:20:34.000000000
tr,4743 days 21:49:31.000000000
nl,5200 days 02:17:13.000000000
it,5214 days 03:24:30.000000000
sh,4767 days 20:59:22.000000000
pl,5219 days 13:21:53.000000000
ko,4862 days 06:41:00.000000000
he,4570 days 18:05:17.000000000
uk,4756 days 06:34:30.000000000
no,5234 days 00:38:01.000000000
fi,4907 days 14:20:49.000000000
vi,4804 days 15:45:49.000000000
cs,4829 days 13:38:59.000000000
